room_id,room_type,view,beds,max_occupancy,has_balcony,nightly_rate,floor
101,standard,courtyard,1,2,0,149.00,1
102,standard,courtyard,1,2,0,149.00,1
103,standard,city,1,2,0,169.00,1
104,standard,city,2,4,0,199.00,1
105,standard,city,2,4,0,199.00,1
106,standard,courtyard,2,4,0,179.00,1
107,standard,city,1,2,0,169.00,1
108,standard,courtyard,1,2,0,149.00,1
201,standard,city,1,2,0,179.00,2
202,standard,city,2,4,0,209.00,2
203,standard,courtyard,1,2,0,159.00,2
204,standard,ocean,1,2,0,229.00,2
205,standard,ocean,2,4,0,259.00,2
206,deluxe,city,1,2,1,249.00,2
207,deluxe,city,2,4,1,289.00,2
208,deluxe,courtyard,1,2,1,229.00,2
301,deluxe,city,2,4,1,299.00,3
302,deluxe,ocean,1,2,1,289.00,3
303,deluxe,ocean,2,4,1,349.00,3
304,deluxe,ocean,2,4,1,349.00,3
305,deluxe,city,1,2,1,259.00,3
306,deluxe,courtyard,2,4,1,239.00,3
307,standard,ocean,1,2,0,239.00,3
308,standard,ocean,2,4,0,269.00,3
401,deluxe,ocean,1,2,1,279.00,4
402,deluxe,ocean,2,4,1,369.00,4
403,deluxe,ocean,2,4,1,369.00,4
404,deluxe,city,2,4,1,309.00,4
405,deluxe,city,1,2,1,269.00,4
406,deluxe,courtyard,2,4,1,249.00,4
407,standard,ocean,2,4,0,279.00,4
408,standard,city,2,4,0,219.00,4
501,suite,ocean,2,4,1,499.00,5
502,suite,ocean,2,4,1,499.00,5
503,suite,city,2,4,1,449.00,5
504,suite,city,1,2,1,399.00,5
505,deluxe,ocean,2,4,1,379.00,5
506,deluxe,ocean,1,2,1,299.00,5
507,deluxe,courtyard,2,4,1,259.00,5
508,deluxe,city,2,4,1,319.00,5
601,suite,ocean,2,6,1,629.00,6
602,suite,ocean,2,6,1,629.00,6
603,suite,ocean,2,4,1,549.00,6
604,suite,city,2,6,1,529.00,6
605,suite,courtyard,2,4,1,429.00,6
606,suite,ocean,2,6,1,649.00,6
701,suite,ocean,3,6,1,799.00,7
702,suite,ocean,2,4,1,699.00,7
703,suite,city,2,4,1,599.00,7
704,suite,ocean,3,6,1,849.00,7
