order_id,restaurant,item_name,qty,unit_price,delivery_fee,tip,status,placed_at
1001,Shake Shack,ShackBurger,2,7.49,3.99,2.50,delivered,2025-05-01 12:14:00
1002,Shake Shack,Crinkle Cut Fries,1,3.89,3.99,1.00,delivered,2025-05-01 12:14:00
1003,Chipotle Mexican Grill,Chicken Burrito Bowl,1,10.95,2.99,2.00,delivered,2025-05-01 13:02:00
1004,Chipotle Mexican Grill,Steak Burrito,1,12.45,2.99,1.50,delivered,2025-05-01 18:45:00
1005,Domino's Pizza,Large Pepperoni Pizza,1,15.99,4.49,3.00,delivered,2025-05-01 19:30:00
1006,Domino's Pizza,Garlic Knots,2,4.99,4.49,1.50,delivered,2025-05-01 19:30:00
1007,Panda Express,Orange Chicken Plate,1,11.20,3.49,2.00,delivered,2025-05-02 12:05:00
1008,Panera Bread,Broccoli Cheddar Soup,1,7.49,3.99,1.50,delivered,2025-05-02 12:50:00
1009,Panera Bread,Turkey Avocado BLT,1,11.79,3.99,2.00,out-for-delivery,2025-05-02 13:10:00
1010,Sweetgreen,Harvest Bowl,1,13.95,4.99,2.50,delivered,2025-05-02 18:20:00
1011,Sweetgreen,Kale Caesar Salad,1,12.45,4.99,2.00,cancelled,2025-05-02 18:35:00
1012,Five Guys,Bacon Cheeseburger,1,12.79,4.49,2.50,delivered,2025-05-03 19:15:00
1013,Five Guys,Cajun Fries Large,1,6.79,4.49,1.00,delivered,2025-05-03 19:15:00
1014,Taco Bell,Crunchwrap Supreme,2,5.49,2.99,1.50,delivered,2025-05-03 21:40:00
1015,Olive Garden,Chicken Alfredo,1,18.99,5.99,3.50,delivered,2025-05-03 19:50:00
1016,Olive Garden,Breadsticks,1,0.00,5.99,0.00,delivered,2025-05-03 19:50:00
1017,Starbucks,Caramel Macchiato Grande,2,5.45,2.99,1.50,delivered,2025-05-04 08:15:00
1018,Starbucks,Bacon Gouda Sandwich,1,5.95,2.99,1.00,delivered,2025-05-04 08:15:00
1019,The Cheesecake Factory,Orange Chicken,1,21.50,5.99,4.00,delivered,2025-05-04 19:25:00
1020,The Cheesecake Factory,Original Cheesecake Slice,2,9.95,5.99,2.50,delivered,2025-05-04 19:25:00
1021,Wendy's,Dave's Double Combo,1,10.49,3.49,1.50,delivered,2025-05-05 12:30:00
1022,McDonald's,Big Mac Meal,1,9.79,2.99,1.00,delivered,2025-05-05 13:05:00
