visit_id,pet_id,visit_date,reason,vet_name,cost
1,1,2024-01-15,checkup,Dr. Amanda Chen,75.00
2,1,2024-04-22,vaccine,Dr. Amanda Chen,95.50
3,2,2024-02-03,illness,Dr. Robert Singh,180.00
4,3,2024-01-28,checkup,Dr. Laura Mitchell,75.00
5,3,2024-05-10,surgery,Dr. Robert Singh,1250.00
6,4,2024-03-12,vaccine,Dr. Amanda Chen,85.00
7,5,2024-02-18,checkup,Dr. Laura Mitchell,70.00
8,5,2024-06-04,illness,Dr. Robert Singh,210.00
9,6,2024-03-25,checkup,Dr. Amanda Chen,55.00
10,7,2024-01-09,vaccine,Dr. Laura Mitchell,90.00
11,7,2024-04-17,illness,Dr. Robert Singh,165.00
12,7,2024-07-21,checkup,Dr. Amanda Chen,75.00
13,8,2024-02-26,checkup,Dr. Laura Mitchell,70.00
14,9,2024-03-08,checkup,Dr. Amanda Chen,60.00
15,10,2024-01-30,surgery,Dr. Robert Singh,1480.00
16,10,2024-05-19,checkup,Dr. Laura Mitchell,75.00
17,11,2024-04-02,checkup,Dr. Amanda Chen,55.00
18,12,2024-02-14,vaccine,Dr. Laura Mitchell,85.00
19,12,2024-06-27,illness,Dr. Robert Singh,195.00
20,13,2024-01-22,checkup,Dr. Amanda Chen,75.00
21,13,2024-05-05,vaccine,Dr. Laura Mitchell,95.00
22,14,2024-03-19,checkup,Dr. Amanda Chen,60.00
23,15,2024-04-29,vaccine,Dr. Laura Mitchell,85.00
24,15,2024-08-11,checkup,Dr. Amanda Chen,75.00
25,16,2024-02-07,illness,Dr. Robert Singh,225.00
26,16,2024-07-15,checkup,Dr. Laura Mitchell,70.00
27,17,2024-03-30,checkup,Dr. Amanda Chen,55.00
28,18,2024-01-17,vaccine,Dr. Laura Mitchell,85.00
29,18,2024-05-23,checkup,Dr. Amanda Chen,75.00
30,18,2024-08-06,illness,Dr. Robert Singh,175.00
31,19,2024-04-09,checkup,Dr. Amanda Chen,60.00
32,20,2024-02-21,checkup,Dr. Laura Mitchell,70.00
33,20,2024-06-13,surgery,Dr. Robert Singh,980.00
34,2,2024-07-08,checkup,Dr. Amanda Chen,70.00
35,4,2024-08-19,checkup,Dr. Laura Mitchell,75.00
36,6,2024-08-28,vaccine,Dr. Amanda Chen,65.00
37,9,2024-09-05,illness,Dr. Robert Singh,140.00
38,11,2024-09-14,vaccine,Dr. Laura Mitchell,65.00
39,14,2024-09-22,vaccine,Dr. Amanda Chen,70.00
40,17,2024-10-01,vaccine,Dr. Laura Mitchell,65.00
