ticket_id,event_id,customer_id,section,price_paid,purchase_date
1,1,1,Floor A,295.00,2025-05-02
2,1,1,Floor A,295.00,2025-05-02
3,1,3,Lower 112,185.00,2025-05-03
4,1,5,Upper 305,95.00,2025-05-04
5,1,8,Lower 118,185.00,2025-05-04
6,1,11,Floor B,245.00,2025-05-05
7,1,11,Floor B,245.00,2025-05-05
8,1,15,Upper 312,95.00,2025-05-06
9,1,16,Upper 309,95.00,2025-05-06
10,1,17,Lower 105,185.00,2025-05-07
11,2,2,GA Floor,75.00,2025-05-10
12,2,4,GA Floor,75.00,2025-05-10
13,2,4,GA Floor,75.00,2025-05-10
14,2,9,Balcony,55.00,2025-05-11
15,2,17,Mezzanine,68.00,2025-05-12
16,2,18,GA Floor,75.00,2025-05-12
17,3,3,Floor 1,225.00,2025-05-15
18,3,7,Lower 108,165.00,2025-05-15
19,3,11,Floor 2,205.00,2025-05-16
20,3,12,Lower 121,165.00,2025-05-16
21,3,13,Upper 215,85.00,2025-05-17
22,3,15,Lower 110,165.00,2025-05-17
23,3,15,Lower 110,165.00,2025-05-17
24,3,16,Upper 224,85.00,2025-05-18
25,4,5,Orchestra,135.00,2025-05-20
26,4,5,Orchestra,135.00,2025-05-20
27,4,9,Terrace,75.00,2025-05-21
28,4,9,Terrace,75.00,2025-05-21
29,4,10,Mezzanine,95.00,2025-05-22
30,4,17,Orchestra,135.00,2025-05-23
31,5,1,Reserved,115.00,2025-05-25
32,5,6,General,65.00,2025-05-25
33,5,10,Reserved,115.00,2025-05-26
34,5,13,General,65.00,2025-05-26
35,5,18,Reserved,115.00,2025-05-27
36,6,7,Main Floor,82.00,2025-05-30
37,6,12,Balcony,62.00,2025-05-30
38,6,12,Balcony,62.00,2025-05-30
39,6,15,Main Floor,82.00,2025-05-31
40,7,1,Floor B,225.00,2025-06-02
41,7,3,Lower 115,155.00,2025-06-02
42,7,3,Lower 115,155.00,2025-06-02
43,7,8,Upper 310,85.00,2025-06-03
44,7,11,Floor A,275.00,2025-06-03
45,7,16,Upper 318,85.00,2025-06-04
46,7,17,Lower 102,155.00,2025-06-04
47,8,5,Orchestra,125.00,2025-06-06
48,8,9,Mezzanine,85.00,2025-06-06
49,8,9,Mezzanine,85.00,2025-06-07
50,8,10,Terrace,68.00,2025-06-07
51,9,2,GA Floor,72.00,2025-06-10
52,9,4,Balcony,55.00,2025-06-10
53,9,17,Mezzanine,65.00,2025-06-11
54,9,18,GA Floor,72.00,2025-06-11
55,10,1,Reserved,105.00,2025-06-14
56,10,6,General,58.00,2025-06-14
57,10,10,Reserved,105.00,2025-06-15
58,10,13,General,58.00,2025-06-15
59,10,13,General,58.00,2025-06-15
60,10,18,Reserved,105.00,2025-06-16
61,11,3,Floor 1,195.00,2025-06-18
62,11,7,Lower 113,145.00,2025-06-18
63,11,11,Floor 2,175.00,2025-06-19
64,11,11,Floor 2,175.00,2025-06-19
65,11,12,Lower 124,145.00,2025-06-20
66,11,15,Lower 109,145.00,2025-06-20
67,11,16,Upper 220,75.00,2025-06-21
68,12,2,Main Floor,78.00,2025-06-24
69,12,6,Main Floor,78.00,2025-06-24
70,12,7,Balcony,58.00,2025-06-25
71,12,12,Main Floor,78.00,2025-06-25
72,12,15,Balcony,58.00,2025-06-26
73,1,2,Upper 308,95.00,2025-05-08
74,1,6,Lower 116,185.00,2025-05-08
75,3,1,Floor 2,205.00,2025-05-19
76,5,3,Reserved,115.00,2025-05-28
77,7,5,Lower 106,155.00,2025-06-05
78,8,17,Orchestra,125.00,2025-06-08
79,9,11,Mezzanine,65.00,2025-06-12
80,11,1,Floor 1,195.00,2025-06-22
