match_id,user_a_id,user_b_id,matched_at,message_count
1,1,9,2024-08-21 19:30:00,42
2,1,19,2024-09-02 11:15:00,17
3,2,8,2024-08-14 22:10:00,88
4,2,18,2024-09-05 18:40:00,5
5,3,13,2024-08-30 20:55:00,63
6,3,25,2024-09-01 09:20:00,12
7,4,15,2024-08-18 14:05:00,34
8,4,26,2024-09-07 21:45:00,9
9,5,16,2024-08-22 19:00:00,21
10,5,27,2024-09-04 12:30:00,71
11,6,20,2024-08-12 08:50:00,3
12,6,24,2024-09-08 17:25:00,46
13,7,17,2024-08-25 23:10:00,55
14,7,28,2024-09-06 13:40:00,28
15,8,2,2024-08-29 10:05:00,15
16,9,1,2024-09-09 15:50:00,8
17,9,29,2024-09-11 18:35:00,33
18,11,21,2024-08-19 16:20:00,67
19,12,23,2024-08-26 11:45:00,19
20,13,3,2024-08-31 22:00:00,90
21,15,4,2024-08-20 09:15:00,11
22,15,28,2024-09-10 20:30:00,4
23,16,5,2024-09-03 14:55:00,52
24,17,7,2024-08-27 21:25:00,38
25,18,2,2024-08-16 12:40:00,7
26,19,1,2024-09-12 19:05:00,24
27,21,11,2024-08-23 17:50:00,49
28,22,4,2024-09-01 10:35:00,16
29,23,12,2024-08-28 23:30:00,58
30,24,6,2024-09-08 11:20:00,30
31,26,15,2024-09-09 13:05:00,22
32,27,5,2024-09-04 22:45:00,73
33,28,7,2024-09-06 14:10:00,29
34,29,9,2024-09-13 16:55:00,40
35,7,2,2024-09-10 19:25:00,6
36,11,8,2024-09-02 21:30:00,18
37,3,17,2024-08-29 12:15:00,25
38,5,19,2024-09-11 09:40:00,11
39,9,13,2024-09-14 17:10:00,3
40,2,11,2024-08-24 20:05:00,44
41,17,29,2024-09-12 14:35:00,13
42,19,3,2024-09-08 16:50:00,27
43,15,7,2024-09-13 11:30:00,9
44,21,1,2024-08-25 19:45:00,36
45,26,11,2024-09-05 22:20:00,5
46,4,19,2024-09-07 13:55:00,17
47,8,28,2024-09-09 18:40:00,21
48,13,29,2024-09-14 10:25:00,32
49,16,21,2024-09-06 19:10:00,8
50,22,9,2024-09-12 15:20:00,14
51,5,,2024-09-13 08:00:00,0
52,9,,2024-09-14 09:30:00,0
53,15,,2024-09-15 10:15:00,0
54,19,,2024-09-15 11:45:00,0
