reading_date,temp_high_c,temp_low_c,precipitation_mm,humidity_pct,condition
2024-11-01,4.2,-1.9,11.3,92,rain
2024-11-02,7.1,-1.5,8.1,75,rain
2024-11-03,9.2,0.4,0.0,69,cloudy
2024-11-04,9.7,-4.1,0.0,57,sunny
2024-11-05,5.1,-2.5,0.0,38,sunny
2024-11-06,3.4,2.4,0.0,56,cloudy
2024-11-07,6.7,0.3,0.0,72,cloudy
2024-11-08,7.2,1.3,0.0,61,cloudy
2024-11-09,2.3,-4.6,2.1,82,rain
2024-11-10,4.7,-4.1,0.0,40,sunny
2024-11-11,3.1,-3.5,0.0,55,sunny
2024-11-12,6.2,-0.9,7.5,83,rain
2024-11-13,6.0,-4.7,0.0,59,sunny
2024-11-14,2.5,-7.3,0.0,63,cloudy
2024-11-15,7.7,-1.5,0.0,41,sunny
2024-11-16,3.3,-2.0,0.0,63,cloudy
2024-11-17,5.9,-2.4,0.0,48,sunny
2024-11-18,2.9,-7.6,0.0,51,sunny
2024-11-19,5.5,-2.4,3.2,88,rain
2024-11-20,2.3,-4.6,0.0,63,cloudy
2024-11-21,5.9,-9.8,0.0,56,sunny
2024-11-22,4.8,-5.2,0.0,64,cloudy
2024-11-23,2.2,-2.5,0.0,43,sunny
2024-11-24,4.4,-7.5,9.8,95,rain
2024-11-25,-0.3,-6.7,14.3,91,rain
2024-11-26,2.7,-7.9,6.1,84,rain
2024-11-27,-0.4,-4.9,11.2,77,rain
2024-11-28,1.7,-10.7,0.0,52,sunny
2024-11-29,1.5,-4.8,0.0,52,sunny
2024-11-30,2.6,-6.7,0.0,76,cloudy
2024-12-01,0.4,-7.6,7.2,75,snow
2024-12-02,1.1,-4.9,18.3,66,snow
2024-12-03,3.7,-4.3,7.5,86,snow
2024-12-04,0.6,-6.3,0.0,53,sunny
2024-12-05,2.4,-6.0,4.2,78,snow
2024-12-06,-0.8,-5.3,17.0,85,snow
2024-12-07,-1.0,-7.6,0.0,42,sunny
2024-12-08,-0.2,-9.4,12.6,67,snow
2024-12-09,2.3,-8.1,25.0,65,snow
2024-12-10,2.6,-8.6,13.2,71,snow
2024-12-11,2.3,-12.4,11.0,79,snow
2024-12-12,0.5,-6.9,0.0,56,sunny
2024-12-13,-4.0,-11.4,0.0,53,sunny
2024-12-14,-4.9,-11.5,13.0,81,snow
2024-12-15,2.1,-10.7,15.7,86,snow
2024-12-16,-2.5,-8.5,7.4,76,rain
2024-12-17,-2.5,-9.8,0.0,63,cloudy
2024-12-18,-0.3,-10.4,0.0,76,cloudy
2024-12-19,-2.5,-8.1,0.0,35,sunny
2024-12-20,1.7,-7.1,6.9,73,snow
2024-12-21,-3.6,-11.5,8.6,79,snow
2024-12-22,-0.9,-11.1,0.0,55,sunny
2024-12-23,-1.3,-10.4,0.0,38,sunny
2024-12-24,-5.6,-14.8,14.7,73,snow
2024-12-25,-5.1,-10.9,10.4,91,rain
2024-12-26,0.3,-8.8,11.7,73,snow
2024-12-27,-4.3,-11.4,0.0,40,sunny
2024-12-28,-2.7,-12.5,3.7,87,snow
2024-12-29,-2.8,-10.8,2.6,79,rain
2024-12-30,-4.4,-6.8,0.0,36,sunny
2024-12-31,-5.7,-14.5,19.9,78,snow
2025-01-01,-1.4,-10.7,5.7,70,snow
2025-01-02,-7.2,-11.5,0.0,68,cloudy
2025-01-03,-0.6,-10.8,20.1,68,snow
2025-01-04,-7.3,-11.3,23.1,76,snow
2025-01-05,-1.3,-12.5,6.4,75,snow
2025-01-06,-7.1,-9.2,0.0,71,cloudy
2025-01-07,0.1,-11.1,0.0,38,sunny
2025-01-08,-5.7,-12.8,0.0,36,sunny
2025-01-09,-4.4,-8.9,0.0,74,cloudy
2025-01-10,-6.9,-11.4,3.0,78,snow
2025-01-11,-0.5,-9.7,0.0,58,sunny
2025-01-12,-6.4,-13.3,0.0,45,sunny
2025-01-13,-2.6,-14.7,0.0,51,sunny
2025-01-14,-4.7,-11.8,4.9,78,snow
2025-01-15,-5.0,-11.2,15.1,77,snow
2025-01-16,-8.0,-13.5,0.0,73,cloudy
2025-01-17,-5.4,-12.8,6.6,80,rain
2025-01-18,-5.7,-11.7,2.0,82,rain
2025-01-19,-6.2,-14.5,7.6,80,snow
2025-01-20,-1.8,-12.7,0.0,53,sunny
2025-01-21,-2.4,-10.8,17.1,65,snow
2025-01-22,-1.1,-11.2,0.0,42,sunny
2025-01-23,-0.3,-10.5,7.7,68,snow
2025-01-24,-1.5,-10.7,0.0,54,sunny
2025-01-25,-1.8,-11.5,0.0,51,sunny
2025-01-26,-0.6,-11.9,21.8,79,snow
2025-01-27,-5.8,-10.0,0.0,51,sunny
2025-01-28,-5.8,-12.0,0.0,42,sunny
2025-01-29,-5.1,-10.5,7.3,87,snow
2025-01-30,-5.9,-10.8,0.0,69,cloudy
2025-01-31,-5.9,-11.7,0.0,53,sunny
2025-02-01,-7.3,-11.0,6.2,86,rain
2025-02-02,-4.3,-8.3,0.0,52,sunny
2025-02-03,-3.0,-11.7,7.0,78,snow
2025-02-04,-4.2,-10.2,0.0,58,sunny
2025-02-05,-3.5,-12.1,1.3,87,rain
2025-02-06,-1.8,-14.0,0.0,69,cloudy
2025-02-07,-4.9,-10.8,0.0,65,cloudy
2025-02-08,-3.9,-10.4,0.0,43,sunny
2025-02-09,-3.1,-10.7,23.9,72,snow
2025-02-10,-0.5,-10.4,0.0,42,sunny
2025-02-11,-6.4,-11.5,17.4,83,snow
2025-02-12,-2.8,-13.7,0.0,74,cloudy
2025-02-13,-0.4,-13.1,0.0,44,sunny
2025-02-14,-6.0,-9.8,11.5,87,rain
2025-02-15,-4.5,-11.3,0.0,42,sunny
2025-02-16,0.2,-6.3,2.3,93,rain
2025-02-17,-3.1,-11.4,0.0,71,cloudy
2025-02-18,-5.6,-10.8,0.0,68,cloudy
2025-02-19,-0.5,-9.4,0.0,48,sunny
2025-02-20,-1.2,-7.2,11.1,90,rain
2025-02-21,1.3,-8.6,0.0,62,cloudy
2025-02-22,-4.4,-8.1,12.7,84,snow
2025-02-23,-2.3,-9.7,0.0,70,cloudy
2025-02-24,1.6,-8.6,0.0,57,sunny
2025-02-25,-0.2,-10.0,7.6,78,snow
2025-02-26,1.6,-7.3,6.4,75,rain
2025-02-27,-2.5,-5.5,0.0,73,cloudy
2025-02-28,0.3,-8.5,0.0,52,sunny
2025-03-01,1.7,-8.6,3.1,81,rain
2025-03-02,2.2,-4.3,0.0,41,sunny
2025-03-03,0.3,-5.0,0.0,51,sunny
2025-03-04,4.5,-5.7,7.1,84,rain
2025-03-05,1.1,-6.6,0.0,52,sunny
2025-03-06,4.6,-5.3,0.0,38,sunny
2025-03-07,1.9,-8.4,0.0,60,cloudy
2025-03-08,-0.5,-6.2,2.1,90,rain
2025-03-09,2.7,-7.3,10.6,84,rain
2025-03-10,-0.1,-4.1,0.0,74,cloudy
2025-03-11,-0.1,-6.9,0.0,69,cloudy
2025-03-12,3.0,-5.3,1.4,88,snow
2025-03-13,4.6,-3.1,2.4,82,rain
2025-03-14,-0.6,-6.9,0.0,74,cloudy
2025-03-15,-0.7,-6.2,15.6,77,rain
2025-03-16,6.6,-3.8,5.6,81,rain
2025-03-17,3.8,-3.4,0.0,39,sunny
2025-03-18,1.0,-3.8,0.0,53,sunny
2025-03-19,3.4,-6.0,7.8,83,rain
2025-03-20,4.1,-6.4,8.3,85,rain
2025-03-21,0.6,-5.6,0.0,53,sunny
2025-03-22,0.8,-2.1,0.0,53,sunny
2025-03-23,6.9,-1.4,0.0,43,sunny
2025-03-24,5.8,-0.8,0.0,57,cloudy
2025-03-25,4.7,-3.6,3.7,88,rain
2025-03-26,3.9,-0.5,0.0,52,sunny
2025-03-27,2.6,-1.7,14.1,91,rain
2025-03-28,2.2,-0.9,0.0,56,cloudy
2025-03-29,5.3,1.2,6.3,81,rain
2025-03-30,3.7,-1.7,0.0,50,sunny
2025-03-31,10.7,1.1,3.7,92,rain
2025-04-01,6.5,-0.5,0.0,38,sunny
2025-04-02,4.4,1.6,0.0,77,cloudy
2025-04-03,9.4,0.0,0.0,70,cloudy
2025-04-04,8.4,0.3,0.0,51,sunny
2025-04-05,5.3,-3.3,0.0,48,sunny
2025-04-06,10.8,-0.2,13.3,93,rain
2025-04-07,10.1,2.7,0.0,70,cloudy
2025-04-08,9.5,1.9,0.0,65,cloudy
2025-04-09,13.2,-1.7,0.0,68,cloudy
2025-04-10,11.6,4.7,0.0,47,sunny
2025-04-11,12.2,0.8,17.4,79,rain
2025-04-12,10.9,4.4,0.0,49,sunny
2025-04-13,13.7,1.1,15.8,79,rain
2025-04-14,12.9,3.0,3.8,77,rain
2025-04-15,13.8,3.7,0.0,65,cloudy
2025-04-16,14.3,2.7,0.0,74,cloudy
2025-04-17,12.6,7.8,0.0,58,sunny
2025-04-18,15.6,7.0,0.0,38,sunny
2025-04-19,13.6,6.7,14.5,84,rain
2025-04-20,11.8,3.4,0.0,76,cloudy
2025-04-21,10.0,0.9,0.0,54,sunny
2025-04-22,12.9,4.7,11.8,89,rain
2025-04-23,9.2,8.0,0.0,56,sunny
2025-04-24,10.0,7.9,0.0,44,sunny
2025-04-25,13.1,3.7,0.0,41,sunny
2025-04-26,16.8,1.6,0.0,66,cloudy
2025-04-27,18.2,4.7,0.0,56,sunny
2025-04-28,10.6,9.1,0.0,36,sunny
2025-04-29,16.8,7.2,0.0,59,sunny
2025-04-30,15.9,5.0,5.3,79,rain
